sex,province,feelings_life,education,political_pref,religion_participation,age,income_family
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,27,"$125,000 and more"
Female,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,42,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,47,"$125,000 and more"
Female,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,37,"$125,000 and more"
Female,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",People's Party,At least once a year,63,"Less than $25,000"
Female,Saskatchewan,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,83,"Less than $25,000"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,49,"$100,000 to $ 124,999"
Female,Saskatchewan,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,56,"$100,000 to $ 124,999"
Male,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,43,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,66,"$50,000 to $74,999"
Female,Saskatchewan,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,60,"$$75,000 to $99,999"
Male,Alberta,Very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,72,"$100,000 to $ 124,999"
Male,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a month,59,"$50,000 to $74,999"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,63,"$125,000 and more"
Male,Alberta,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,56,"$25,000 to $49,999"
Female,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,25,"$50,000 to $74,999"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,39,"$$75,000 to $99,999"
Female,Alberta,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,33,"Less than $25,000"
Female,Alberta,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,30,"$125,000 and more"
Male,Alberta,Not satisfied at all,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,59,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,Less than high school diploma or its equivalent,Liberal (Grits),Not at all,46,"$125,000 and more"
Male,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,68,"$100,000 to $ 124,999"
Female,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a month,19,"$125,000 and more"
Female,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,39,"$125,000 and more"
Male,Saskatchewan,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,48,"Less than $25,000"
Female,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,42,"$125,000 and more"
Male,Alberta,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,39,"$$75,000 to $99,999"
Female,Alberta,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,46,"Less than $25,000"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,30,"$100,000 to $ 124,999"
Male,Alberta,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,44,"$$75,000 to $99,999"
Female,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,57,"$50,000 to $74,999"
Female,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,25,"$25,000 to $49,999"
Male,Alberta,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",People's Party,At least once a month,70,"$$75,000 to $99,999"
Female,Alberta,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,36,"$125,000 and more"
Male,Alberta,Not very satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),At least once a year,33,"$$75,000 to $99,999"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,48,"$125,000 and more"
Male,Alberta,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,54,"$125,000 and more"
Male,Alberta,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,62,"$100,000 to $ 124,999"
Male,Ontario,Not very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,61,"$125,000 and more"
Male,Alberta,Not very satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,18,"Less than $25,000"
Female,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a year,37,"$$75,000 to $99,999"
Male,Manitoba,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,55,"$50,000 to $74,999"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,42,"$100,000 to $ 124,999"
Female,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,30,"$50,000 to $74,999"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,66,"$100,000 to $ 124,999"
Male,Manitoba,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,47,"Less than $25,000"
Male,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,34,"$50,000 to $74,999"
Male,Manitoba,Not very satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,62,"$50,000 to $74,999"
Female,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,37,"$$75,000 to $99,999"
Male,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,51,"$125,000 and more"
Female,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,37,"$100,000 to $ 124,999"
Female,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,56,"$25,000 to $49,999"
Male,Manitoba,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,32,"$125,000 and more"
Male,Manitoba,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,47,"$50,000 to $74,999"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,63,"$$75,000 to $99,999"
Male,Manitoba,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a week,36,"Less than $25,000"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,35,"$125,000 and more"
Male,Manitoba,Not very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,65,"$100,000 to $ 124,999"
Female,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,64,"$50,000 to $74,999"
Male,Manitoba,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,46,"$125,000 and more"
Male,Manitoba,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,33,"$50,000 to $74,999"
Female,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,57,"$50,000 to $74,999"
Male,Manitoba,Not satisfied at all,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,54,"$100,000 to $ 124,999"
Male,Manitoba,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,31,"$100,000 to $ 124,999"
Male,Manitoba,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,20,"$125,000 and more"
Male,Manitoba,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,47,"$125,000 and more"
Male,Manitoba,Very satisfied,"University certificate, diploma or degree above the bach...",Other,Not at all,54,"$125,000 and more"
Male,Alberta,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,29,"Less than $25,000"
Male,New Brunswick,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,43,"$100,000 to $ 124,999"
Male,New Brunswick,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,30,"$$75,000 to $99,999"
Female,New Brunswick,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a year,33,"$100,000 to $ 124,999"
Female,New Brunswick,Not very satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,30,"Less than $25,000"
Female,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,28,"$$75,000 to $99,999"
Female,New Brunswick,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,56,"$50,000 to $74,999"
Female,New Brunswick,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,49,"$$75,000 to $99,999"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,46,"$125,000 and more"
Male,New Brunswick,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),Not at all,34,"$$75,000 to $99,999"
Female,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,34,"$50,000 to $74,999"
Male,New Brunswick,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,64,"$125,000 and more"
Male,New Brunswick,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,50,"$50,000 to $74,999"
Female,New Brunswick,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,45,"$$75,000 to $99,999"
Male,New Brunswick,Not very satisfied,Less than high school diploma or its equivalent,Other,At least once a year,31,"$125,000 and more"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,27,"$25,000 to $49,999"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,51,"$$75,000 to $99,999"
Male,New Brunswick,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),At least once a year,78,"$25,000 to $49,999"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,41,"$50,000 to $74,999"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,51,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,39,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,54,"$100,000 to $ 124,999"
Male,British Columbia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,22,"$50,000 to $74,999"
Male,British Columbia,Very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,65,"$125,000 and more"
Female,Alberta,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,59,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,49,"$125,000 and more"
Male,British Columbia,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,33,"$25,000 to $49,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,25,"$50,000 to $74,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,60,"$125,000 and more"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,41,"$100,000 to $ 124,999"
Female,British Columbia,Not very satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,27,"$25,000 to $49,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,47,"$125,000 and more"
Male,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,54,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,60,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,57,"$100,000 to $ 124,999"
Male,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,54,"$100,000 to $ 124,999"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,71,"$125,000 and more"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,53,"$125,000 and more"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,26,"$25,000 to $49,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,33,"$50,000 to $74,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Other,Not at all,44,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,58,"$125,000 and more"
Male,British Columbia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,69,"$100,000 to $ 124,999"
Female,British Columbia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,47,"$50,000 to $74,999"
Male,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,56,"$50,000 to $74,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,46,"$25,000 to $49,999"
Female,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,37,"$125,000 and more"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,67,"$125,000 and more"
Male,Ontario,Fairly satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),Not at all,22,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,High school diploma or a high school equivalency certificate,People's Party,At least once a year,40,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,42,"$125,000 and more"
Male,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,54,"$100,000 to $ 124,999"
Female,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),At least once a year,51,"$50,000 to $74,999"
Male,British Columbia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),Not at all,37,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,55,"$50,000 to $74,999"
Male,Alberta,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,22,"$25,000 to $49,999"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,31,"$$75,000 to $99,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,53,"$125,000 and more"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,63,"$100,000 to $ 124,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,37,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,49,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,35,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,49,"$$75,000 to $99,999"
Male,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,34,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,33,"$25,000 to $49,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,46,"$100,000 to $ 124,999"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,58,"$50,000 to $74,999"
Female,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a year,48,"$100,000 to $ 124,999"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,57,"$125,000 and more"
Male,British Columbia,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,42,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,67,"$100,000 to $ 124,999"
Male,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,24,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,38,"Less than $25,000"
Female,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),Not at all,47,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,41,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,29,"$100,000 to $ 124,999"
Male,British Columbia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,59,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,59,"$50,000 to $74,999"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),Not at all,62,"$25,000 to $49,999"
Female,British Columbia,Very satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,22,"$50,000 to $74,999"
Male,Newfoundland and Labrador,Not very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,29,"$$75,000 to $99,999"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,28,"$50,000 to $74,999"
Female,Prince Edward Island,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a month,72,"$25,000 to $49,999"
Female,Prince Edward Island,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,48,"$$75,000 to $99,999"
Male,Prince Edward Island,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,39,"$125,000 and more"
Male,Prince Edward Island,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,40,"$$75,000 to $99,999"
Female,Prince Edward Island,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a year,32,"$50,000 to $74,999"
Male,Prince Edward Island,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,23,"Less than $25,000"
Male,Prince Edward Island,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,62,"$100,000 to $ 124,999"
Male,Prince Edward Island,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,30,"Less than $25,000"
Female,Nova Scotia,Very satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,54,"$25,000 to $49,999"
Male,Prince Edward Island,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,70,"$$75,000 to $99,999"
Male,Prince Edward Island,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),At least once a year,33,"$100,000 to $ 124,999"
Female,Prince Edward Island,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,41,"$125,000 and more"
Male,Prince Edward Island,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,73,"$25,000 to $49,999"
Male,Prince Edward Island,Not satisfied at all,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,52,"$50,000 to $74,999"
Male,Prince Edward Island,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,27,"$125,000 and more"
Female,Prince Edward Island,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,40,"$125,000 and more"
Male,Prince Edward Island,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,24,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a year,21,"Less than $25,000"
Female,Nova Scotia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,67,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,59,"$$75,000 to $99,999"
Female,Nova Scotia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,63,"$$75,000 to $99,999"
Male,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,64,"$50,000 to $74,999"
Male,Nova Scotia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,40,"$25,000 to $49,999"
Female,Nova Scotia,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,56,"$125,000 and more"
Female,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a month,51,"$$75,000 to $99,999"
Male,Nova Scotia,Not very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,48,"$125,000 and more"
